Governorate,Date,precipitation,hc_air_temperature,hc_relative_humidity,solar_radiation,wind_speed_sonic,Cereales (T),Maraichage (T),Legumineuses (T),Fourrages (T),Arboriculture (T),Olives (T),Cultures industrielles (T),Year
BEJA,2025-09-26,0.0,16.47518984027232,66.28645260539409,55.833333333333336,0.8,690000.0,204312.0,48906.0,606414.0,98400.0,87000.0,0.0,2018
BEJA,2025-09-26,0.0,16.47518984027232,66.28645260539409,55.833333333333336,0.8,820000.0,289366.0,54340.0,241400.0,110600.0,65000.0,0.0,2019
BEJA,2025-09-26,0.0,16.47518984027232,66.28645260539409,55.833333333333336,0.8,580000.0,375200.0,40000.0,70000.0,126200.0,138000.0,0.0,2020
BEJA,2025-09-26,0.0,16.47518984027232,66.28645260539409,55.833333333333336,0.8,740000.0,354000.0,51000.0,686800.0,152000.0,65000.0,0.0,2021
BEJA,2025-09-26,0.0,16.47518984027232,66.28645260539409,55.833333333333336,0.8,800000.0,280000.0,52280.0,768800.0,130400.0,80000.0,0.0,2022
BEJA,2025-09-26,0.0,16.47518984027232,66.28645260539409,55.833333333333336,0.8,220000.0,327400.0,26000.0,478200.0,129000.0,108000.0,0.0,2023
BEJA,2025-09-26,0.0,16.47518984027232,66.28645260539409,55.833333333333336,0.8,5200000.0,262420.0,320000.0,2847120.0,116400.0,65000.0,0.0,2024
BIZERTE,2025-07-28,0.0,27.027,47.463,627.8,6.34,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-07-28,0.0,27.027,47.463,627.8,6.34,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-07-28,0.0,27.027,47.463,627.8,6.34,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-07-28,0.0,27.027,47.463,627.8,6.34,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-04,0.0,24.969166666666663,77.61583333333333,322.6666666666667,2.6166666666666667,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-04,0.0,24.969166666666663,77.61583333333333,322.6666666666667,2.6166666666666667,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-04,0.0,24.969166666666663,77.61583333333333,322.6666666666667,2.6166666666666667,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-04,0.0,24.969166666666663,77.61583333333333,322.6666666666667,2.6166666666666667,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-07,0.0,28.615,61.6475,0.0,0.3,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-07,0.0,28.615,61.6475,0.0,0.3,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-07,0.0,28.615,61.6475,0.0,0.3,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-07,0.0,28.615,61.6475,0.0,0.3,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-08,6.4,27.40041666666667,71.09125,47.333333333333336,0.9625,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-08,6.4,27.40041666666667,71.09125,47.333333333333336,0.9625,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-08,6.4,27.40041666666667,71.09125,47.333333333333336,0.9625,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-08,6.4,27.40041666666667,71.09125,47.333333333333336,0.9625,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-09,0.0,26.352083333333336,66.70875,320.125,2.1791666666666667,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-09,0.0,26.352083333333336,66.70875,320.125,2.1791666666666667,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-09,0.0,26.352083333333336,66.70875,320.125,2.1791666666666667,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-09,0.0,26.352083333333336,66.70875,320.125,2.1791666666666667,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-10,0.0,27.19,64.07166666666667,321.7916666666667,2.091666666666667,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-10,0.0,27.19,64.07166666666667,321.7916666666667,2.091666666666667,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-10,0.0,27.19,64.07166666666667,321.7916666666667,2.091666666666667,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-10,0.0,27.19,64.07166666666667,321.7916666666667,2.091666666666667,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-11,0.0,27.282083333333333,69.51625,310.4166666666667,2.2125,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-11,0.0,27.282083333333333,69.51625,310.4166666666667,2.2125,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-11,0.0,27.282083333333333,69.51625,310.4166666666667,2.2125,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-11,0.0,27.282083333333333,69.51625,310.4166666666667,2.2125,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-12,0.0,27.105416666666667,75.31416666666667,305.25,3.529166666666667,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-13,0.0,27.27583333333333,78.26291666666667,301.875,2.2916666666666665,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,498860.0,632738.0,42600.0,1054600.0,0.0,0.0,11670.0,2022
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,303240.0,421706.0,40000.0,1067200.0,0.0,0.0,10689.0,2023
BIZERTE,2025-08-14,0.0,26.864166666666662,69.79166666666667,297.2916666666667,1.6583333333333332,257807.0,249710.0,27300.0,618150.0,0.0,0.0,3815.0,2024
BIZERTE,2025-08-15,0.0,27.63416666666667,64.70375,301.2083333333333,2.325,490120.0,616960.0,44000.0,1168000.0,0.0,0.0,8000.0,2021
